"","date","real","model"
"621",1961-09-12,1300,1098.98554800889
"622",1961-09-13,1260,1073.65539350859
"623",1961-09-14,1240,1043.12014480716
"624",1961-09-15,1210,1025.97106489713
"625",1961-09-16,1210,1018.19011226074
"626",1961-09-17,1230,1044.52743662981
"627",1961-09-18,1280,1057.9735518298
"628",1961-09-19,1230,1030.35662696183
"629",1961-09-20,1220,984.305208410244
"630",1961-09-21,1200,945.813087289582
"631",1961-09-22,1140,915.241803221075
"632",1961-09-23,1100,888.817991493628
"633",1961-09-24,1090,864.87409020285
"634",1961-09-25,1040,842.469374772371
"635",1961-09-26,1040,831.572951902647
"636",1961-09-27,1060,833.801444303241
"637",1961-09-28,1040,802.087684622205
"638",1961-09-29,1020,785.187810215409
"639",1961-09-30,1020,763.502098966676
"640",1961-10-01,992,742.027422359479
"641",1961-10-02,989,725.718849980622
"642",1961-10-03,976,715.393586560825
"643",1961-10-04,960,708.15506896699
"644",1961-10-05,957,690.609698559547
"645",1961-10-06,944,675.586105816657
"646",1961-10-07,916,662.45794414761
"647",1961-10-08,936,658.665098754842
"648",1961-10-09,927,661.044522677946
"649",1961-10-10,919,675.516961658802
"650",1961-10-11,916,724.535699626527
"651",1961-10-12,910,716.148458583538
"652",1961-10-13,890,664.652507574272
"653",1961-10-14,931,643.107386632717
"654",1961-10-15,917,630.603255231337
"655",1961-10-16,835,618.3351189405
"656",1961-10-17,853,610.721812219845
"657",1961-10-18,860,766.965617449078
"658",1961-10-19,926,979.910835466306
"659",1961-10-20,1000,1115.59526024558
"660",1961-10-21,1040,1228.18400841885
"661",1961-10-22,1020,1104.40738553796
"662",1961-10-23,1080,1036.78523887528
"663",1961-10-24,1000,985.843073075861
"664",1961-10-25,950,941.737553982556
"665",1961-10-26,959,902.4517902411
"666",1961-10-27,923,874.892351229123
"667",1961-10-28,928,856.460686375309
"668",1961-10-29,914,840.579912107901
"669",1961-10-30,892,851.653846049531
"670",1961-10-31,883,868.456734172347
"671",1961-11-01,892,855.953826364704
"672",1961-11-02,901,831.739031538334
