#      date    value 
cdo(1) remapnn: Nearest neighbor weights from lonlat (166x66) to lonlat (1x1) grid, with source mask (6265)
 2020-01-03 2451.20908528176 
 2020-01-04 2264.31852514205 
 2020-01-05 2082.98503508948 
 2020-01-06 1914.39381481553 
 2020-01-07 1769.52804760343 
 2020-01-08 1654.02034500878 
 2020-01-09 1567.85379121743 
 2020-01-10 1514.45938882315 
 2020-01-11 1481.78402321489 
 2020-01-12 1446.25551771191 
 2020-01-13 1405.42713105649 
 2020-01-14 1368.11477884169 
 2020-01-15 1328.8150611041 
 2020-01-16 1289.3208673885 
 2020-01-17 1254.83331121245 
 2020-01-18 1221.89628776454 
 2020-01-19 1186.81712221975 
 2020-01-20 1151.56419250598 
 2020-01-21 1117.98771891413 
 2020-01-22 1087.06409859639 
 2020-01-23 1071.59800631928 
 2020-01-24 1089.34437721975 
 2020-01-25 1104.13900070876 
 2020-01-26 1090.40995189371 
 2020-01-27 1053.89979193156 
 2020-01-28 1019.8987564251 
 2020-01-29 998.224399949003 
 2020-01-30 990.744956035222 
 2020-01-31 1004.34660962445 
 2020-02-01 997.582983146218 
 2020-02-02 990.455232135845 
 2020-02-03 1000.7641817325 
 2020-02-04 1049.37663078945 
 2020-02-05 1127.12165586109 
 2020-02-06 1255.69793063603 
 2020-02-07 1467.02562752736 
 2020-02-08 1849.26428743148 
 2020-02-09 2474.86075295583 
 2020-02-10 3277.34685049137 
 2020-02-11 3965.72107152951 
 2020-02-12 4247.54054416158 
 2020-02-13 4156.33052391674 
 2020-02-14 3851.21280360045 
 2020-02-15 3490.48958962165 
 2020-02-16 3221.34374536254 
 2020-02-17 3098.32781084735 
 2020-02-18 3076.97086853643 
 2020-02-19 3065.69460463237 
 2020-02-20 3003.31267014303 
 2020-02-21 2887.77572704064 
 2020-02-22 2739.03401324861 
 2020-02-23 2597.20064079652 
 2020-02-24 2476.31663044207 
 2020-02-25 2380.73950770451 
 2020-02-26 2304.9814236515 
 2020-02-27 2232.75182031255 
 2020-02-28 2214.09303418152 
 2020-02-29 2324.08617421125 
 2020-03-01 2491.58980983869 
 2020-03-02 2626.82572499753 
 2020-03-03 2744.92192007328 
 2020-03-04 2826.19468431712 
 2020-03-05 2846.95018243271 
 2020-03-06 2903.57139803051 
 2020-03-07 2891.9896332079 
 2020-03-08 2816.52892592112 
 2020-03-09 2776.49771440623 
 2020-03-10 2744.57055521403 
 2020-03-11 2662.45567028095 
 2020-03-12 2536.20836150998 
 2020-03-13 2418.58030846214 
 2020-03-14 2329.95973268358 
 2020-03-15 2263.63250417703 
 2020-03-16 2240.45538588502 
 2020-03-17 2296.60682166981 
 2020-03-18 2380.73599473373 
 2020-03-19 2398.31866949538 
 2020-03-20 2342.98345921629 
 2020-03-21 2248.80809630366 
 2020-03-22 2146.7625608116 
 2020-03-23 2051.63525031557 
 2020-03-24 1988.90860406932 
 2020-03-25 1988.40566119531 
 2020-03-26 2007.83175549983 
 2020-03-27 2003.81570665388 
 2020-03-28 2010.05577564201 
 2020-03-29 2002.77336142102 
 2020-03-30 1937.42494202219 
 2020-03-31 1831.91224997662 
 2020-04-01 1730.32265064452 
 2020-04-02 1660.50829669243 
 2020-04-03 1606.37367134906 
 2020-04-04 1548.88692798202 
 2020-04-05 1495.52824453742 
 2020-04-06 1452.26713152848 
 2020-04-07 1415.20087258292 
 2020-04-08 1375.99528083225 
 2020-04-09 1334.65234984283 
 2020-04-10 1298.61747711862 
 2020-04-11 1269.89090329199 
 2020-04-12 1246.55012524422 
 2020-04-13 1228.19576072967 
 2020-04-14 1218.86442250024 
 2020-04-15 1216.95265950882 
 2020-04-16 1224.43142483753 
 2020-04-17 1235.94791163708 
 2020-04-18 1255.64252515924 
 2020-04-19 1262.14832676688 
 2020-04-20 1255.7320784021 
