"","month","real","model"
"463","1998-07",5.36,3.64256808937332
"464","1998-08",5.113,3.06776994455973
"465","1998-09",6.267,4.10132642733154
"466","1998-10",6.336,3.59675330512241
"467","1998-11",6.056,6.37568785501308
"468","1998-12",6.335,4.8001434644346
"469","1999-01",6.832,4.19329474412711
"470","1999-02",21.719,7.4842823184059
"471","1999-03",21.32,12.2966730026046
"472","1999-04",9.355,6.48412802744804
"473","1999-05",6.933,5.92698492450826
"474","1999-06",6.515,5.15661124049796
"475","1999-07",8.173,6.09498781351247
"476","1999-08",5.42,3.60015424319027
"477","1999-09",5.625,2.88400414459539
"478","1999-10",6.139,1.81891324938258
"479","1999-11",5.033,2.1961882183907
"480","1999-12",4.554,1.529849668077
"481","2000-01",4.638,2.05457097588784
"482","2000-02",15.67,7.80401967001229
"483","2000-03",27.195,13.2847138114133
"484","2000-04",21.198,11.5948175111346
"485","2000-05",6.012,5.96740008857581
"486","2000-06",5.052,4.13888503463505
"487","2000-07",4.834,3.80209734309933
"488","2000-08",4.544,5.2138721774326
"489","2000-09",5.018,3.25721499271588
"490","2000-10",6.678,3.27569243777549
"491","2000-11",5.7,2.63622701624628
"492","2000-12",4.599,2.32074847992957
